Oblast,Ville,Pays,Coordonnées
Odesa,Odesa,Ukraine,"46.47586927466302, 30.742174442172473"
Donetsk,Mariupol,Ukraine,"47.113842860426544, 37.559958493078796"
Kharkiv,Kharkiv,Ukraine,"49.9836588137293, 36.255582634870144"
Kherson,Oleksandrivka,Ukraine,"46.61382847219148, 32.11163841674999"
Kherson,Chornobayivka,Ukraine,"46.6952298951942, 32.54909778561254"
Donetsk,Lyman,Ukraine,"48.98963565686005, 37.80479606993629"
Luhansk,Popasna,Ukraine,"48.6314660760233, 38.37344059286653"
Donetsk,Avdiyivka,Ukraine,"48.13746915502594, 37.750008036162754"
Kharkiv,Petrivs'ke,Ukraine,"49.173148816925725, 36.892086250671454"
Luhansk,Zolote,Ukraine,"48.6953810453041, 38.51396767436268"
Donetsk,Yats'kivka ,Ukraine,"49.17747408703512, 37.534591763660494"
Donetsk,Zarichne,Ukraine,"49.0190566554344, 37.93272491335685"
Kharkiv,Derhachi,Ukraine,"50.108025298491434, 36.12118449476559"
Chernihiv,Sen’kivka,Ukraine,"52.08854565591153, 31.779290775013255"
Kharkiv,Prudyanka,Ukraine,"50.24589427858226, 36.17227128128218"
Mykolaïv,Hurlivka,Ukraine,"47.12385676145639, 31.87034644602989"
Donetsk,Vynohradne,Ukraine,"47.09305762919776, 37.682782915285145"
Kherson,Zelenyi Hai,Ukraine,"47.65397736137022, 37.439684651927905"
Kherson,Barvinkove,Ukraine,"48.907100576002016, 37.01049181879951"
Kherson,Kyselivka,Ukraine,"46.75671543590372, 32.409361058780966"
Donetsk,Velikaya Novoselka,Ukraine,"47.84047514830163, 36.83836043341994"
Kharkiv,Korotychi,Ukraine,"49.95172957734471, 36.03657885690787"
Kharkiv,Kurulka,Ukraine,"48.949650492399016, 37.25491515653537"
Kharkiv,Husarivka,Ukraine,"48.88058864153352, 37.15387527480714"
Luhansk,Rubizhne,Ukraine,"49.01172808874737, 38.38373531348893"
Donetsk,Marinka,Ukraine,"47.94306579640962, 37.50521350056201"
Kharkiv,Malynivka,Ukraine,"49.79743599583833, 36.7132422126985"
Sumy,Atynske,Ukraine,"51.23586785622653, 34.270743260623384"
Dnipropetrovsk,Pavlohrad,Ukraine,"48.53304983558406, 35.87848962913304"
Kherson,Posad-Pokrovs'ke,Ukraine,"46.80400770782673, 32.26360269101569"
Novosibirsk,Novosibirsk,Russie,"54.986292579800576, 82.97497607328937"
Donetsk,Ocheretyne,Ukraine,"48.243530434787054, 37.61027288185316"
Kharkiv,Chuhuiv,Ukraine,"49.83445517881795, 36.686586771520595"
Kharkiv,Kalynove,Ukraine,"49.434032379279614, 37.49667884533287"
Luhansk,Borivske,Ukraine,"48.86897330318057, 38.562595912892796"
Donetsk,Yampil,Ukraine,"48.93930369483346, 37.95317832312878"
Gomel,Gomel,Biélorussie,"52.42635775099178, 30.97285392432646"
Kharkiv,Pashkove,Ukraine,"48.91985290622525, 37.23107435396671"
Kharkiv,Dovhen’ke,Ukraine,"49.01862380856672, 37.32003082071765"
Kharkiv,Velyka Komyshuvakha,Ukraine,"49.104868522051646, 36.99077479817309"
Luhansk,Orikhove,Ukraine,"48.71917422215043, 38.56432000501949"
Donetsk,Novomykhailivka,Ukraine,"47.85308549230985, 37.48608028616123"
Donetsk,Vremivka,Ukraine,"47.83483148706429, 36.81366838677367"
